Protocol: udp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 20.205.243.166, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.251.220.67, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 192.168.42.129, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.251.220.67, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 20.205.243.166, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 76.76.21.21, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 192.168.42.129, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 142.251.220.67, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.251.220.67, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 142.251.220.67, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 142.251.220.67, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 142.251.220.67, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.251.220.67, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 13.225.103.61, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: udp, Source IP: 192.168.42.145, Destination IP: 142.251.220.67, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 13.225.103.61, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 20.205.243.166, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 142.251.220.67, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: udp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 13.225.103.61, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 20.205.243.166, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 20.205.243.166, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 20.205.243.166, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 20.205.243.166, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 20.205.243.166, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 20.205.243.166, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 20.205.243.166, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP: 142.250.204.99, Destination IP: 192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP: 192.168.42.145, Destination IP: 142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP:  192.168.42.145, Destination IP:   142.250.66.67, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP:  192.168.42.145, Destination IP:  142.250.204.99, Source MAC: 6e:05:1a:b8:57:69, Destination MAC: de:88:72:59:5d:c1
Protocol: tcp, Source IP:  142.250.204.99, Destination IP:  192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
Protocol: tcp, Source IP:   142.250.66.67, Destination IP:  192.168.42.145, Source MAC: de:88:72:59:5d:c1, Destination MAC: 6e:05:1a:b8:57:69
